cluster,analysis,k,est,lo,hi,p,I2,tau2,pooled,r_back,studies,note
MA1 보행속도,주분석,4,-0.4999,-1.4113,0.4116,0.1793,75.7,0.1667,yes,,461; 532; 532; 617,primary
MA1 보행속도,LOO 제외 461,3,-0.3203,-1.6958,1.0552,0.4219,72.7,0.1181,yes,,532; 532; 617,Franek 2018
MA1 보행속도,LOO 제외 532,3,-0.5532,-2.2792,1.1728,0.3019,83.5,0.2433,yes,,461; 532; 617,Franek 2019 Exp1
MA1 보행속도,LOO 제외 532,3,-0.3806,-1.9285,1.1673,0.401,80.3,0.1815,yes,,461; 532; 617,Franek 2019 Exp2
MA1 보행속도,LOO 제외 617,3,-0.7356,-1.6457,0.1745,0.0737,39.9,0.0146,yes,,461; 532; 532,Oases soundscape
MA1 보행속도,저품질(low) 제외,0,,,,,,,no,,,"제외 [461, 532, 532, 617]"
MA1 보행속도,high만,0,,,,,,,no,,,
MA2 체류,주분석,3,0.3132,-0.0761,0.7025,0.0743,54.4,0.0029,yes,,323; 665; 1280,primary
MA2 체류,LOO 제외 323,2,0.2581,-1.3253,1.8415,0.2863,69.6,0.0,yes,,665; 1280,Aletta 2016 (음악 vs 무음악)
MA2 체류,LOO 제외 665,2,0.2721,-0.7648,1.3091,0.1855,46.9,0.0,yes,,323; 1280,"Ba & Kang 2020 (음악 vs 무음, 체류시간)"
MA2 체류,LOO 제외 1280,2,0.4324,-0.7121,1.5769,0.1308,0.0,0.0,yes,,323; 665,"Bao 2026 (자연음지수↑, 장기체류 OR)"
MA2 체류,저품질(low) 제외,3,0.3132,-0.0761,0.7025,0.0743,54.4,0.0029,yes,,323; 665; 1280,제외 []
MA2 체류,high만,1,0.3877,0.1856,0.5898,0.0002,0.0,0.0,no,,323,
MA3 사회적 상호작용,주분석,3,0.5688,-0.0197,1.1574,0.0532,43.5,0.0,yes,,931; 1069; 14,primary
MA3 사회적 상호작용,LOO 제외 931,2,0.4837,-0.2388,1.2062,0.0745,0.0,0.0,yes,,1069; 14,"Chen 2023 (자연음 vs 소음, 그룹상호작용%)"
MA3 사회적 상호작용,LOO 제외 1069,2,0.6289,-2.6956,3.9533,0.251,71.5,0.0262,yes,,931; 14,"Chen 2024 (자연음 vs 소음, 쌍상호작용%)"
MA3 사회적 상호작용,LOO 제외 14,2,0.6829,-1.8615,3.2273,0.1816,51.6,0.0,yes,,931; 1069,Moser 1988 (도로공사소음→원조행동)
MA3 사회적 상호작용,저품질(low) 제외,3,0.5688,-0.0197,1.1574,0.0532,43.5,0.0,yes,,931; 1069; 14,제외 []
MA3 사회적 상호작용,high만,2,0.4837,-0.2388,1.2062,0.0745,0.0,0.0,yes,,1069; 14,
MA4 지각-행태 상관,주분석,5,0.4549,0.2254,0.6843,0.0053,89.8,0.0238,yes,0.4259,1076; 1221; 1177; 980; 1018,primary
MA4 지각-행태 상관,LOO 제외 1076,4,0.4001,0.1225,0.6777,0.0195,84.2,0.0183,yes,0.38,1221; 1177; 980; 1018,Xu 2024 (사운드스케이프 쾌적성 ↔ 정적행태)
MA4 지각-행태 상관,LOO 제외 1221,4,0.5267,0.3076,0.7459,0.0046,78.7,0.0101,yes,0.4829,1076; 1177; 980; 1018,Wang 2025 (자연음 사건빈도 ↔ 대기시간)
MA4 지각-행태 상관,LOO 제외 1177,4,0.4602,0.1337,0.7867,0.0207,92.3,0.0282,yes,0.4302,1076; 1221; 980; 1018,"Béjaïa (음향쾌적 ↔ 보행쾌적, 오전)"
MA4 지각-행태 상관,LOO 제외 980,4,0.4137,0.1191,0.7084,0.0209,91.1,0.023,yes,0.3916,1076; 1221; 1177; 1018,Bao 2023 (체류시간 ↔ 회복지각)
MA4 지각-행태 상관,LOO 제외 1018,4,0.4763,0.1455,0.807,0.0195,91.8,0.0289,yes,0.4432,1076; 1221; 1177; 980,Sitting/walking 군 상관(대표치)
MA4 지각-행태 상관,저품질(low) 제외,4,0.5267,0.3076,0.7459,0.0046,78.7,0.0101,yes,0.4829,1076; 1177; 980; 1018,제외 [1221]
MA4 지각-행태 상관,high만,1,0.3769,0.265,0.4887,0.0,0.0,0.0,no,0.36,1018,
MA1 보행속도,③ 617 관측 n(189/108),4,-0.4566,-1.3982,0.485,0.2205,88.2,0.2197,yes,,461; 532; 532; 617,참가자 n=27 → 관측 n
MA4 지각-행태 상관,④ rho 제외,3,0.5435,0.177,0.91,0.0237,85.0,0.0112,yes,0.4956,1076; 980; 1018,"제외 [1221, 1177]"
MA1 보행속도,⑤ 균등분할 가정(532) 제외,2,-0.3941,-8.3455,7.5572,0.6422,90.1,0.3144,yes,,461; 617,군당 n 미보고
MA2 체류,⑤ p→t 역산(665) 제외,2,0.2721,-0.7648,1.3091,0.1855,46.9,0.0,yes,,323; 1280,SD 미보고
MA1 보행속도,⑥ 481(음악) 포함,5,-0.7424,-1.6346,0.1499,0.082,86.0,0.3415,yes,,461; 532; 532; 617; 481,노출·행태 이질 결합
